"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 02, 2021","8,618.57","8,648.43","8,714.79","8,611.06","206.58M","-0.35%"
"Feb 01, 2021","8,648.43","8,702.55","8,755.98","8,648.43","218.64M","-0.62%"
"Jan 31, 2021","8,702.55","8,807.02","8,781.46","8,677.51","251.18M","-1.19%"
"Jan 28, 2021","8,807.02","8,784.12","8,816.76","8,739.40","177.80M","0.26%"
"Jan 27, 2021","8,784.12","8,789.87","8,820.48","8,784.12","142.29M","-0.07%"
"Jan 26, 2021","8,789.87","8,846.95","8,844.73","8,789.87","160.05M","-0.65%"
"Jan 25, 2021","8,846.95","8,829.52","8,872.71","8,837.69","169.00M","0.20%"
"Jan 24, 2021","8,829.52","8,876.49","8,886.02","8,819.56","188.99M","-0.53%"
"Jan 21, 2021","8,876.49","8,878.30","8,909.86","8,876.49","183.09M","-0.02%"
"Jan 20, 2021","8,878.30","8,901.87","8,916.39","8,878.30","206.20M","-0.26%"
"Jan 19, 2021","8,901.87","8,931.29","8,955.44","8,901.87","229.89M","-0.33%"
"Jan 18, 2021","8,931.29","8,874.90","8,931.29","8,853.89","332.27M","0.64%"
"Jan 17, 2021","8,874.90","8,898.68","8,901.48","8,866.66","242.17M","-0.27%"
"Jan 14, 2021","8,898.68","8,914.29","8,912.78","8,873.42","222.48M","-0.18%"
"Jan 13, 2021","8,914.29","8,884.46","8,914.29","8,880.91","257.00M","0.34%"
"Jan 12, 2021","8,884.46","8,869.47","8,884.46","8,854.34","221.95M","0.17%"
"Jan 11, 2021","8,869.47","8,817.05","8,869.47","8,804.26","301.60M","0.59%"
"Jan 10, 2021","8,817.05","8,737.20","8,841.22","8,768.89","280.20M","0.91%"
"Jan 07, 2021","8,737.20","8,670.80","8,737.20","8,659.60","256.25M","0.77%"
"Jan 06, 2021","8,670.80","8,682.11","8,692.90","8,664.94","198.22M","-0.13%"
"Jan 05, 2021","8,682.11","8,667.66","8,695.23","8,632.67","220.96M","0.17%"
"Jan 04, 2021","8,667.66","8,612.82","8,670.77","8,621.55","245.61M","0.64%"
"Jan 03, 2021","8,612.82","8,689.53","8,698.34","8,600.56","264.78M","-0.88%"
"Dec 31, 2020","8,689.53","8,760.08","8,755.49","8,689.53","210.65M","-0.81%"
"Dec 30, 2020","8,760.08","8,746.76","8,760.08","8,718.17","247.09M","0.15%"
"Dec 29, 2020","8,746.76","8,715.38","8,746.76","8,692.25","282.54M","0.36%"
"Dec 28, 2020","8,715.38","8,740.66","8,750.53","8,709.62","326.68M","-0.29%"
"Dec 27, 2020","8,740.66","8,702.68","8,751.97","8,707.61","396.77M","0.44%"
"Dec 24, 2020","8,702.68","8,720.67","8,733.10","8,678.80","365.22M","-0.21%"
"Dec 23, 2020","8,720.67","8,680.45","8,730.70","8,648.44","367.34M","0.46%"
"Dec 22, 2020","8,680.45","8,538.68","8,680.45","8,527.39","349.39M","1.66%"
"Dec 21, 2020","8,538.68","8,686.89","8,585.99","8,464.32","482.15M","-1.71%"
"Dec 20, 2020","8,686.89","8,711.58","8,761.84","8,684.42","365.92M","-0.28%"
"Dec 17, 2020","8,711.58","8,721.18","8,765.80","8,711.58","424.72M","-0.11%"
"Dec 16, 2020","8,721.18","8,659.37","8,721.18","8,673.84","372.83M","0.71%"
