Date,Price,Open,High,Low,Vol.,Change %
"Jan 25, 2021","26,053.45","26,490.39","26,543.22","25,861.80",153.65K,-1.65%
"Jan 24, 2021","26,490.39","26,045.62","26,573.27","25,767.15",141.45K,1.71%
"Jan 21, 2021","26,045.62","26,279.48","26,279.48","25,731.11",170.24K,-0.89%
"Jan 20, 2021","26,279.48","25,949.96","26,349.43","25,283.05",131.01K,1.27%
"Jan 19, 2021","25,949.96","25,739.30","26,289.56","25,172.83",258.42K,0.82%
"Jan 18, 2021","25,739.30","25,824.55","26,257.34","24,902.02",436.48K,-0.33%
"Jan 17, 2021","25,824.55","26,536.41","26,530.57","25,824.55",263.02K,-2.68%
"Jan 14, 2021","26,536.41","25,751.51","26,825.28","25,356.47",600.36K,3.05%
"Jan 13, 2021","25,751.51","25,687.68","25,751.51","24,705.06",508.75K,0.25%
"Jan 12, 2021","25,687.68","24,877.77","26,314.20","24,398.63",487.35K,3.26%
"Jan 11, 2021","24,877.77","24,742.76","24,922.31","24,263.44",435.94K,0.55%
"Jan 10, 2021","24,742.76","24,437.30","24,924.78","23,836.29",581.28K,1.25%
"Jan 07, 2021","24,437.30","25,047.98","25,379.04","23,913.52",692.59K,-2.44%
"Jan 06, 2021","25,047.98","24,849.97","25,290.60","24,424.58",888.96K,0.80%
"Jan 05, 2021","24,849.97","25,025.24","25,399.53","24,041.93",594.48K,-0.70%
"Jan 04, 2021","25,025.24","25,014.71","25,219.94","24,161.99",404.75K,0.04%
"Jan 03, 2021","25,014.71","26,245.46","26,260.52","24,336.22",327.58K,-4.69%
"Dec 31, 2020","26,245.46","24,974.65","26,398.68","23,750.93",406.41K,5.09%
"Dec 30, 2020","24,974.65","25,728.11","26,771.73","24,494.11",486.85K,-2.93%
"Dec 29, 2020","25,728.11","24,349.17","25,728.11","24,513.83",777.27K,5.66%
"Dec 28, 2020","24,349.17","21,720.21","24,418.12","21,705.97",366.73K,12.10%
"Dec 27, 2020","21,720.21","21,356.96","21,838.14","21,132.37",402.14K,1.70%
"Dec 24, 2020","21,356.96","21,085.63","21,364.17","20,860.14",563.7K,1.29%
"Dec 23, 2020","21,085.63","21,698.23","21,698.23","20,856.37",366.6K,-2.82%
"Dec 22, 2020","21,698.23","20,664.23","21,698.23","20,676.43",502.88K,5.00%
"Dec 21, 2020","20,664.23","21,000.01","20,785.02","19,960.19",547.17K,-1.60%
"Dec 20, 2020","21,000.01","20,650.33","21,000.01","20,434.68",370.05K,1.69%
"Dec 17, 2020","20,650.33","19,978.38","20,673.35","19,909.51",356.07K,3.36%
"Dec 16, 2020","19,978.38","20,268.32","20,313.67","19,882.66",182.35K,-1.43%
"Dec 15, 2020","20,268.32","19,942.12","20,268.32","19,780.13",377.26K,1.64%
"Dec 14, 2020","19,942.12","20,245.93","20,970.56","19,841.09",427.12K,-1.50%
"Dec 13, 2020","20,245.93","20,557.03","21,268.84","20,238.99",820.12K,-1.51%
"Dec 10, 2020","20,557.03","19,840.14","20,557.03","19,583.31",684.29K,3.61%
"Dec 09, 2020","19,840.14","20,428.58","21,103.87","19,654.17",589.53K,-2.88%
"Dec 08, 2020","20,428.58","18,899.61","20,428.58","18,747.59",616.04K,8.09%
"Dec 07, 2020","18,899.61","18,669.23","18,899.61","18,494.48",532.25K,1.23%
"Dec 06, 2020","18,669.23","19,257.55","20,320.61","18,663.18",703.1K,-3.06%
"Dec 03, 2020","19,257.55","19,254.74","19,330.74","19,099.79",367.07K,0.01%
"Dec 02, 2020","19,254.74","19,835.54","19,996.17","19,254.74",538.52K,-2.93%
"Dec 01, 2020","19,835.54","19,487.11","19,835.54","19,369.56",316.18K,1.79%
"Nov 30, 2020","19,487.11","19,920.81","20,298.45","19,456.00",338.31K,-2.18%
"Nov 29, 2020","19,920.81","19,785.21","20,237.59","19,732.26",492.15K,0.69%
"Nov 26, 2020","19,785.21","20,241.29","20,040.37","19,333.73",892.23K,-2.25%
"Nov 25, 2020","20,241.29","19,646.84","20,789.22","19,714.35",1.9M,3.03%
"Nov 24, 2020","19,646.84","19,615.08","19,720.19","18,797.28",346.91K,0.16%
"Nov 23, 2020","19,615.08","19,719.78","19,852.76","19,462.06",327.89K,-0.53%
"Nov 22, 2020","19,719.78","20,333.81","20,651.22","19,433.27",252.95K,-3.02%
"Nov 19, 2020","20,333.81","20,324.06","20,692.33","19,440.08",422.28K,0.05%
"Nov 18, 2020","20,324.06","21,100.91","21,805.78","20,130.73",511.83K,-3.68%
"Nov 17, 2020","21,100.91","20,187.41","21,100.91","19,985.68",218.23K,4.53%
"Nov 16, 2020","20,187.41","20,728.99","20,740.15","19,922.81",337.44K,-2.61%
"Nov 15, 2020","20,728.99","20,462.18","20,728.99","20,387.24",401.2K,1.30%
"Nov 12, 2020","20,462.18","18,834.89","20,586.07","18,789.13",529.58K,8.64%
"Nov 11, 2020","18,834.89","17,367.76","18,885.52","17,101.20",358.65K,8.45%
"Nov 10, 2020","17,367.76","17,654.95","17,794.28","16,995.58",542.62K,-1.63%
"Nov 09, 2020","17,654.95","16,899.11","17,831.92","16,606.56",489.27K,4.47%
"Nov 08, 2020","16,899.11","17,261.52","17,437.74","16,689.31",401.87K,-2.10%
"Nov 05, 2020","17,261.52","18,620.32","18,636.71","17,057.25",371.15K,-7.30%
"Nov 04, 2020","18,620.32","18,530.84","18,796.30","17,866.20",528.31K,0.48%
"Nov 03, 2020","18,530.84","17,346.18","18,754.37","16,284.10",687.41K,6.83%
"Nov 02, 2020","17,346.18","16,145.86","17,346.18","16,134.34",217.19K,7.43%
"Nov 01, 2020","16,145.86","16,158.77","16,364.25","16,055.60",230.91K,-0.08%
"Oct 29, 2020","16,158.77","15,673.16","16,372.56","14,869.55",660.42K,3.10%
"Oct 28, 2020","15,673.16","14,438.08","15,703.79","14,248.43",798.22K,8.55%
"Oct 27, 2020","14,438.08","14,889.55","14,893.86","14,324.10",286.74K,-3.03%
"Oct 26, 2020","14,889.55","13,881.02","14,933.77","13,279.66",432.76K,7.27%
"Oct 25, 2020","13,881.02","15,413.99","15,411.63","13,881.02",604.45K,-9.95%
"Oct 22, 2020","15,413.99","15,261.14","15,413.99","15,100.19",322.17K,1.00%
"Oct 21, 2020","15,261.14","14,962.25","15,323.27","14,690.74",364.29K,2.00%
"Oct 20, 2020","14,962.25","14,419.15","14,968.09","14,236.02",359.1K,3.77%
"Oct 19, 2020","14,419.15","14,628.64","14,608.03","14,346.21",220.07K,-1.43%
"Oct 18, 2020","14,628.64","14,643.52","14,699.50","14,497.94",393.9K,-0.10%
"Oct 15, 2020","14,643.52","15,227.73","15,286.40","14,463.74",493.02K,-3.84%
"Oct 14, 2020","15,227.73","14,978.97","15,283.23","14,797.88",399.89K,1.66%
"Oct 13, 2020","14,978.97","14,708.26","15,370.42","14,559.82",939.5K,1.84%
"Oct 12, 2020","14,708.26","14,794.62","14,898.87","14,632.33",511.06K,-0.58%
"Oct 11, 2020","14,794.62","15,000.95","15,078.97","14,239.51",1M,-1.38%
"Oct 08, 2020","15,000.95","15,033.72","15,112.98","14,811.49",590.79K,-0.22%
"Oct 07, 2020","15,033.72","14,219.73","15,140.62","13,797.88",816.05K,5.72%
"Oct 06, 2020","14,219.73","14,212.64","14,504.18","14,127.20",900.5K,0.05%
"Oct 05, 2020","14,212.64","14,477.36","14,567.82","13,716.19",629.89K,-1.83%
"Oct 04, 2020","14,477.36","13,788.95","14,477.36","13,721.18",607.63K,4.99%
"Oct 01, 2020","13,788.95","14,114.21","14,178.82","13,418.22",499.34K,-2.30%
"Sep 30, 2020","14,114.21","13,653.74","14,235.05","13,550.28",663.74K,3.37%
"Sep 29, 2020","13,653.74","13,569.28","13,876.74","13,327.68",801.37K,0.62%
"Sep 28, 2020","13,569.28","14,309.65","14,368.28","13,298.73",539.12K,-5.17%
"Sep 27, 2020","14,309.65","14,509.83","14,863.64","14,214.07",532.29K,-1.38%
"Sep 24, 2020","14,509.83","13,972.40","14,509.83","13,284.95",640.58K,3.85%
"Sep 22, 2020","13,972.40","12,208.73","13,972.40","12,692.26",706.99K,14.45%
"Sep 21, 2020","12,208.73","13,057.21","13,222.00","12,066.10",952.29K,-6.50%
"Sep 20, 2020","13,057.21","12,720.73","13,378.60","12,687.09",718.61K,2.65%
"Sep 17, 2020","12,720.73","12,135.77","13,107.65","11,963.87",1.01M,4.82%
"Sep 16, 2020","12,135.77","12,544.78","12,659.00","12,117.36",470.14K,-3.26%
"Sep 15, 2020","12,544.78","11,848.62","12,571.61","11,417.88",834.79K,5.88%
"Sep 14, 2020","11,848.62","11,721.43","11,944.13","11,256.64",1.4M,1.09%
"Sep 13, 2020","11,721.43","11,672.63","12,148.57","11,552.47",547.22K,0.42%
"Sep 10, 2020","11,672.63","11,628.01","11,875.97","10,977.73",1.1M,0.38%
"Sep 09, 2020","11,628.01","11,023.96","11,927.62","10,815.93",2.12M,5.48%
"Sep 08, 2020","11,023.96","9,833.26","11,036.31","9,799.84",1.53M,12.11%
"Sep 07, 2020","9,833.26","9,757.37","9,931.54","9,453.59",647.27K,0.78%
"Sep 06, 2020","9,757.37","9,512.16","9,757.37","9,358.13",1.96M,2.58%
"Sep 03, 2020","9,512.16","9,410.35","9,516.31","9,269.31",392.95K,1.08%
"Sep 02, 2020","9,410.35","9,061.33","9,532.77","9,075.04",557.43K,3.85%
"Sep 01, 2020","9,061.33","9,278.72","9,473.73","8,907.18",408.96K,-2.34%
"Aug 31, 2020","9,278.72","9,024.74","9,421.18","8,955.22",823.82K,2.81%
"Aug 30, 2020","9,024.74","8,769.53","9,024.74","8,729.06",396.11K,2.91%
"Aug 27, 2020","8,769.53","8,716.08","8,770.79","8,672.27",339.77K,0.61%
"Aug 26, 2020","8,716.08","8,729.44","8,821.36","8,625.06",223.09K,-0.15%
"Aug 25, 2020","8,729.44","8,508.39","8,739.44","8,370.93",379.32K,2.60%
